language-spoken,teacher-cat,course-cat,semester,class-size,evaluation
Non-English-Speaker,c23,c3,Summer,20,High
Non-English-Speaker,c9,c5,Regular,19,High
Non-English-Speaker,c10,c3,Regular,27,High
English-Speaker,c22,c3,Regular,58,High
Non-English-Speaker,c15,c3,Summer,20,High
Non-English-Speaker,c10,c22,Regular,9,High
Non-English-Speaker,c13,c1,Regular,30,High
Non-English-Speaker,c18,c21,Regular,29,High
Non-English-Speaker,c6,c17,Regular,39,High
Non-English-Speaker,c6,c17,Regular,42,Medium
Non-English-Speaker,c6,c17,Regular,43,Medium
Non-English-Speaker,c7,c11,Regular,10,Medium
Non-English-Speaker,c22,c3,Regular,46,Medium
Non-English-Speaker,c13,c3,Summer,10,Medium
Non-English-Speaker,c7,c25,Regular,42,Medium
Non-English-Speaker,c25,c7,Regular,27,Medium
Non-English-Speaker,c25,c7,Regular,23,Medium
Non-English-Speaker,c2,c9,Regular,31,Medium
Non-English-Speaker,c1,c15,Summer,22,Medium
Non-English-Speaker,c15,c13,Regular,37,Medium
Non-English-Speaker,c7,c11,Regular,13,Medium
Non-English-Speaker,c8,c3,Regular,24,Medium
Non-English-Speaker,c14,c15,Regular,38,Medium
Non-English-Speaker,c21,c2,Regular,42,Low
Non-English-Speaker,c22,c3,Regular,28,Low
Non-English-Speaker,c11,c1,Regular,51,Low
Non-English-Speaker,c18,c5,Regular,19,Low
Non-English-Speaker,c13,c1,Regular,31,Low
English-Speaker,c13,c3,Summer,13,Low
Non-English-Speaker,c5,c2,Regular,37,Low
Non-English-Speaker,c16,c8,Regular,36,Low
Non-English-Speaker,c4,c16,Regular,21,Low
Non-English-Speaker,c5,c2,Regular,48,Low
Non-English-Speaker,c14,c15,Regular,38,Low
English-Speaker,c23,c3,Summer,25,High
English-Speaker,c13,c3,Summer,17,High
Non-English-Speaker,c16,c19,Regular,11,High
Non-English-Speaker,c9,c2,Regular,39,High
Non-English-Speaker,c13,c3,Summer,11,High
Non-English-Speaker,c18,c21,Regular,19,High
English-Speaker,c22,c3,Regular,45,High
Non-English-Speaker,c7,c11,Summer,20,High
Non-English-Speaker,c23,c3,Summer,20,High
English-Speaker,c23,c3,Summer,20,High
English-Speaker,c23,c3,Regular,38,High
Non-English-Speaker,c14,c22,Regular,17,High
English-Speaker,c17,c17,Regular,19,High
Non-English-Speaker,c9,c5,Regular,24,High
Non-English-Speaker,c18,c25,Regular,25,High
English-Speaker,c17,c17,Regular,31,High
Non-English-Speaker,c1,c15,Regular,31,High
Non-English-Speaker,c1,c8,Regular,18,Medium
English-Speaker,c11,c16,Regular,22,Medium
English-Speaker,c22,c13,Regular,27,Medium
Non-English-Speaker,c9,c2,Regular,14,Medium
Non-English-Speaker,c13,c1,Regular,20,Medium
English-Speaker,c6,c17,Regular,35,Medium
Non-English-Speaker,c23,c3,Summer,20,Medium
English-Speaker,c23,c3,Summer,20,Medium
Non-English-Speaker,c6,c17,Regular,37,Medium
English-Speaker,c22,c3,Regular,15,Medium
Non-English-Speaker,c20,c2,Regular,25,Medium
Non-English-Speaker,c23,c3,Regular,10,Medium
Non-English-Speaker,c20,c2,Regular,14,Low
English-Speaker,c23,c3,Regular,38,Low
Non-English-Speaker,c13,c1,Regular,29,Low
Non-English-Speaker,c10,c3,Regular,19,Low
Non-English-Speaker,c7,c11,Regular,30,Low
English-Speaker,c14,c15,Regular,32,Low
Non-English-Speaker,c8,c3,Regular,27,Low
Non-English-Speaker,c12,c7,Regular,34,Low
Non-English-Speaker,c8,c7,Regular,23,Low
Non-English-Speaker,c15,c1,Regular,66,Low
Non-English-Speaker,c23,c3,Regular,12,Low
Non-English-Speaker,c2,c9,Regular,29,Low
Non-English-Speaker,c15,c1,Regular,19,Low
Non-English-Speaker,c20,c2,Regular,3,Low
Non-English-Speaker,c13,c14,Regular,17,High
Non-English-Speaker,c9,c6,Regular,7,High
English-Speaker,c10,c3,Regular,21,High
Non-English-Speaker,c14,c15,Regular,36,High
English-Speaker,c13,c1,Regular,54,High
English-Speaker,c8,c3,Regular,29,High
Non-English-Speaker,c20,c2,Regular,45,High
Non-English-Speaker,c22,c1,Regular,11,Medium
Non-English-Speaker,c18,c12,Regular,16,Medium
Non-English-Speaker,c20,c15,Regular,18,Medium
English-Speaker,c17,c18,Regular,44,Medium
Non-English-Speaker,c14,c23,Regular,17,Medium
Non-English-Speaker,c24,c26,Regular,21,Medium
Non-English-Speaker,c9,c24,Regular,20,Medium
Non-English-Speaker,c12,c8,Regular,24,Medium
Non-English-Speaker,c9,c6,Regular,5,Medium
Non-English-Speaker,c22,c1,Regular,42,Medium
Non-English-Speaker,c7,c11,Regular,30,Low
Non-English-Speaker,c10,c3,Regular,19,Low
Non-English-Speaker,c23,c3,Regular,11,Low
Non-English-Speaker,c17,c18,Regular,29,Low
Non-English-Speaker,c16,c20,Regular,15,Low
Non-English-Speaker,c3,c2,Regular,37,Low
Non-English-Speaker,c19,c4,Regular,10,Low
Non-English-Speaker,c23,c3,Regular,24,Low
Non-English-Speaker,c3,c2,Regular,26,Low
Non-English-Speaker,c10,c3,Regular,12,Low
English-Speaker,c18,c7,Regular,48,Low
Non-English-Speaker,c22,c1,Regular,51,Low
Non-English-Speaker,c2,c10,Regular,27,Low
