name-of-country,landmass,zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,corsses,saltires,quarters,sunstrars,crescent,triangle,icon,animate,text,topleft,botright
Bahrain,Asia,NE,1,0,Arabic,Muslim,0,0,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,white,red
Bangladesh,Asia,NE,143,90,Other-Indo-European,Muslim,0,0,2,present,present,absent,absent,absent,absent,absent,green,1,0,0,0,0,absent,absent,absent,absent,absent,green,green
Barbados,N.America,NW,0,0,English,Other-Christian,3,0,3,absent,absent,present,present,absent,present,absent,blue,0,0,0,0,0,absent,absent,present,absent,absent,blue,blue
Belgium,Europe,NE,31,10,Other-Indo-European,Catholic,3,0,3,present,absent,absent,present,absent,present,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,black,red
Belize,N.America,NW,23,0,English,Other-Christian,0,2,8,present,present,present,present,present,present,present,blue,1,0,0,0,0,absent,absent,present,present,present,red,red
Benin,Africa,NE,113,3,French,Ethnic,0,0,2,present,present,absent,absent,absent,absent,absent,green,0,0,0,0,1,absent,absent,absent,absent,absent,green,green
Bermuda,N.America,NW,0,0,English,Other-Christian,0,0,6,present,present,present,present,present,present,absent,red,1,1,1,1,0,absent,absent,present,present,absent,white,red
Bhutan,Asia,NE,47,1,Others,Buddhist,0,0,4,present,absent,absent,absent,present,present,present,orange,4,0,0,0,0,absent,absent,absent,present,absent,orange,red
Bolivia,S.America, SW,1099,6,Spanish,Catholic,0,3,3,present,present,absent,present,absent,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Botswana,Africa,SE,600,1,Others,Ethnic,0,5,3,absent,absent,present,absent,present,present,absent,blue,0,0,0,0,0,absent,absent,absent,absent,absent,blue,blue
Brazil,S.America, SW,8512,119,Other-Indo-European,Catholic,0,0,4,absent,present,present,present,present,absent,absent,green,1,0,0,0,22,absent,absent,absent,absent,present,green,green
British-Virgin-Isles,N.America,NW,0,0,English,Other-Christian,0,0,6,present,present,present,present,present,absent,present,blue,0,1,1,1,0,absent,absent,present,present,present,white,blue
Brunei,Asia,NE,6,0,Others,Muslim,0,0,4,present,absent,absent,present,present,present,absent,gold,0,0,0,0,0,absent,present,present,present,present,white,gold
Bulgaria,Europe,NE,111,9,Slavic,Marxist,0,3,5,present,present,present,present,present,absent,absent,red,0,0,0,0,1,absent,absent,present,present,absent,white,red
Burkina,Africa,NW,274,7,French,Ethnic,0,2,3,present,present,absent,present,absent,absent,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,red,green
Burma,Asia,NE,678,35,Others,Buddhist,0,0,3,present,absent,present,absent,present,absent,absent,red,0,0,0,1,14,absent,absent,present,present,absent,blue,red
Burundi,Africa,SE,28,4,Others,Ethnic,0,0,3,present,present,absent,absent,present,absent,absent,red,1,0,1,0,3,absent,absent,absent,absent,absent,white,white
Cameroon,Africa,NE,474,8,French,Other-Christian,3,0,3,present,present,absent,present,absent,absent,absent,gold,0,0,0,0,1,absent,absent,absent,absent,absent,green,gold
Canada,N.America,NW,9976,24,English,Other-Christian,2,0,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,present,absent,red,red
Cape-Verde-Islands,Africa,NW,4,0,Other-Indo-European,Catholic,1,2,5,present,present,absent,present,absent,present,present,gold,0,0,0,0,1,absent,absent,absent,present,absent,red,green
Cayman-Islands,N.America,NW,0,0,English,Other-Christian,0,0,6,present,present,present,present,present,absent,present,blue,1,1,1,1,4,absent,absent,present,present,present,white,blue
Central-African-Republic,Africa,NE,623,2,Others,Ethnic,1,0,5,present,present,present,present,present,absent,absent,gold,0,0,0,0,1,absent,absent,absent,absent,absent,blue,gold
Chad,Africa,NE,1284,4,French,Ethnic,3,0,3,present,absent,present,present,absent,absent,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,blue,red
Chile,S.America, SW,757,11,Spanish,Catholic,0,2,3,present,absent,present,absent,present,absent,absent,red,0,0,0,1,1,absent,absent,absent,absent,absent,blue,red
China,Asia,NE,9561,1008,Chinese,Marxist,0,0,2,present,absent,absent,present,absent,absent,absent,red,0,0,0,0,5,absent,absent,absent,absent,absent,red,red
Colombia,S.America,NW,1139,28,Spanish,Catholic,0,3,3,present,absent,present,present,absent,absent,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,gold,red
Comorro-Islands,Africa,SE,2,0,French,Muslim,0,0,2,absent,present,absent,absent,present,absent,absent,green,0,0,0,0,4,present,absent,absent,absent,absent,green,green
Congo,Africa,SE,342,2,Others,Ethnic,0,0,3,present,present,absent,present,absent,absent,absent,red,0,0,0,0,1,absent,absent,present,present,absent,red,red
Cook-Islands,Oceania, SW,0,0,English,Other-Christian,0,0,4,present,absent,present,absent,present,absent,absent,blue,1,1,1,1,15,absent,absent,absent,absent,absent,white,blue
Costa-Rica,N.America,NW,51,2,Spanish,Catholic,0,5,3,present,absent,present,absent,present,absent,absent,blue,0,0,0,0,0,absent,absent,absent,absent,absent,blue,blue
Cuba,N.America,NW,115,10,Spanish,Marxist,0,5,3,present,absent,present,absent,present,absent,absent,blue,0,0,0,0,1,absent,present,absent,absent,absent,blue,blue
Cyprus,Europe,NE,9,1,Other-Indo-European,Other-Christian,0,0,3,absent,present,absent,present,present,absent,absent,white,0,0,0,0,0,absent,absent,present,present,absent,white,white
Czechoslovakia,Europe,NE,128,15,Slavic,Marxist,0,0,3,present,absent,present,absent,present,absent,absent,white,0,0,0,0,0,absent,present,absent,absent,absent,white,red
Denmark,Europe,NE,43,5,Other-Indo-European,Other-Christian,0,0,2,present,absent,absent,absent,present,absent,absent,red,0,1,0,0,0,absent,absent,absent,absent,absent,red,red
Djibouti,Africa,NE,22,0,French,Muslim,0,0,4,present,present,present,absent,present,absent,absent,blue,0,0,0,0,1,absent,present,absent,absent,absent,white,green
Dominica,N.America,NW,0,0,English,Other-Christian,0,0,6,present,present,present,present,present,present,absent,green,1,0,0,0,10,absent,absent,absent,present,absent,green,green
Dominican-Republic,N.America,NW,49,6,Spanish,Catholic,0,0,3,present,absent,present,absent,present,absent,absent,blue,0,1,0,0,0,absent,absent,absent,absent,absent,blue,blue
Ecuador,S.America, SW,284,8,Spanish,Catholic,0,3,3,present,absent,present,present,absent,absent,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,gold,red
Egypt,Africa,NE,1001,47,Arabic,Muslim,0,3,4,present,absent,absent,present,present,present,absent,black,0,0,0,0,0,absent,absent,absent,present,present,red,black
El-Salvador,N.America,NW,21,5,Spanish,Catholic,0,3,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,0,absent,absent,absent,absent,absent,blue,blue
Equatorial-Guinea,Africa,NE,28,0,Others,Ethnic,0,3,4,present,present,present,absent,present,absent,absent,green,0,0,0,0,0,absent,present,absent,absent,absent,green,red
Ethiopia,Africa,NE,1222,31,Others,Other-Christian,0,3,3,present,present,absent,present,absent,absent,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,green,red
Faeroes,Europe,NW,1,0,Other-Indo-European,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,white,0,1,0,0,0,absent,absent,absent,absent,absent,white,white
Falklands-Malvinas,S.America, SW,12,0,English,Other-Christian,0,0,6,present,present,present,present,present,absent,absent,blue,1,1,1,1,0,absent,absent,present,present,present,white,blue
Fiji,Oceania,SE,18,1,English,Other-Christian,0,0,7,present,present,present,present,present,absent,present,blue,0,2,1,1,0,absent,absent,present,present,absent,white,blue
Finland,Europe,NE,337,5,Japanese/Turkish/Finnish/Magyar,Other-Christian,0,0,2,absent,absent,present,absent,present,absent,absent,white,0,1,0,0,0,absent,absent,absent,absent,absent,white,white
France,Europe,NE,547,54,French,Catholic,3,0,3,present,absent,present,absent,present,absent,absent,white,0,0,0,0,0,absent,absent,absent,absent,absent,blue,red
French-Guiana,S.America,NW,91,0,French,Catholic,3,0,3,present,absent,present,absent,present,absent,absent,white,0,0,0,0,0,absent,absent,absent,absent,absent,blue,red
French-Polynesia,Oceania, SW,4,0,French,Catholic,0,3,5,present,absent,present,present,present,present,absent,red,1,0,0,0,1,absent,absent,present,absent,absent,red,red
Gabon,Africa,SE,268,1,Others,Ethnic,0,3,3,absent,present,present,present,absent,absent,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,green,blue
Gambia,Africa,NW,10,1,English,Ethnic,0,5,4,present,present,present,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Germany-DDR,Europe,NE,108,17,German,Marxist,0,3,3,present,absent,absent,present,absent,present,absent,gold,0,0,0,0,0,absent,absent,present,absent,absent,black,gold
Germany-FRG,Europe,NE,249,61,German,Other-Christian,0,3,3,present,absent,absent,present,absent,present,absent,black,0,0,0,0,0,absent,absent,absent,absent,absent,black,gold
Ghana,Africa,NW,239,14,English,Ethnic,0,3,4,present,present,absent,present,absent,present,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,red,green
Gibraltar,Europe,NW,0,0,English,Other-Christian,0,1,3,present,absent,absent,present,present,absent,absent,white,0,0,0,0,0,absent,absent,present,absent,absent,white,red
Greece,Europe,NE,132,10,Other-Indo-European,Other-Christian,0,9,2,absent,absent,present,absent,present,absent,absent,blue,0,1,0,1,0,absent,absent,absent,absent,absent,blue,blue
Greenland,N.America,NW,2176,0,Other-Indo-European,Other-Christian,0,0,2,present,absent,absent,absent,present,absent,absent,white,1,0,0,0,0,absent,absent,absent,absent,absent,white,red
Grenada,N.America,NW,0,0,English,Other-Christian,0,0,3,present,present,absent,present,absent,absent,absent,gold,1,0,0,0,7,absent,present,absent,present,absent,red,red
Guam,Oceania,NE,0,0,English,Other-Christian,0,0,7,present,present,present,present,present,absent,present,blue,0,0,0,0,0,absent,absent,present,present,present,red,red
Guatemala,N.America,NW,109,8,Spanish,Catholic,3,0,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,0,absent,absent,absent,absent,absent,blue,blue
Guinea,Africa,NW,246,6,French,Muslim,3,0,3,present,present,absent,present,absent,absent,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Guinea-Bissau,Africa,NW,36,1,Other-Indo-European,Ethnic,1,2,4,present,present,absent,present,absent,present,absent,gold,0,0,0,0,1,absent,absent,absent,absent,absent,red,green
Guyana,S.America,NW,215,1,English,Hindu,0,0,5,present,present,absent,present,present,present,absent,green,0,0,0,0,0,absent,present,absent,absent,absent,black,green
Haiti,N.America,NW,28,6,French,Catholic,2,0,2,present,absent,absent,absent,absent,present,absent,black,0,0,0,0,0,absent,absent,absent,absent,absent,black,red
Honduras,N.America,NW,112,4,Spanish,Catholic,0,3,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,5,absent,absent,absent,absent,absent,blue,blue
Hong-Kong,Asia,NE,1,5,Chinese,Buddhist,0,0,6,present,present,present,present,present,absent,present,blue,1,1,1,1,0,absent,absent,present,present,present,white,blue
Hungary,Europe,NE,93,11,Japanese/Turkish/Finnish/Magyar,Marxist,0,3,3,present,present,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Iceland,Europe,NW,103,0,Other-Indo-European,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,blue,0,1,0,0,0,absent,absent,absent,absent,absent,blue,blue
India,Asia,NE,3268,684,Other-Indo-European,Hindu,0,3,4,absent,present,present,absent,present,absent,present,orange,1,0,0,0,0,absent,absent,present,absent,absent,orange,green
Indonesia,Oceania,SE,1904,157,Others,Muslim,0,2,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,white
Iran,Asia,NE,1648,39,Other-Indo-European,Muslim,0,3,3,present,present,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,present,absent,present,green,red
Iraq,Asia,NE,435,14,Arabic,Muslim,0,3,4,present,present,absent,absent,present,present,absent,red,0,0,0,0,3,absent,absent,absent,absent,absent,red,black
Ireland,Europe,NW,70,3,English,Catholic,3,0,3,absent,present,absent,absent,present,absent,present,white,0,0,0,0,0,absent,absent,absent,absent,absent,green,orange
Israel,Asia,NE,21,4,Others,Others,0,2,2,absent,absent,present,absent,present,absent,absent,white,0,0,0,0,1,absent,absent,absent,absent,absent,blue,blue
Italy,Europe,NE,301,57,Other-Indo-European,Catholic,3,0,3,present,present,absent,absent,present,absent,absent,white,0,0,0,0,0,absent,absent,absent,absent,absent,green,red
Ivory-Coast,Africa,NW,323,7,French,Ethnic,3,0,3,present,present,absent,absent,present,absent,absent,white,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Jamaica,N.America,NW,11,2,English,Other-Christian,0,0,3,absent,present,absent,present,absent,present,absent,green,0,0,1,0,0,absent,present,absent,absent,absent,gold,gold
Japan,Asia,NE,372,118,Japanese/Turkish/Finnish/Magyar,Others,0,0,2,present,absent,absent,absent,present,absent,absent,white,1,0,0,0,1,absent,absent,absent,absent,absent,white,white
Jordan,Asia,NE,98,2,Arabic,Muslim,0,3,4,present,present,absent,absent,present,present,absent,black,0,0,0,0,1,absent,present,absent,absent,absent,black,green
Kampuchea,Asia,NE,181,6,Others,Buddhist,0,0,2,present,absent,absent,present,absent,absent,absent,red,0,0,0,0,0,absent,absent,present,absent,absent,red,red
Kenya,Africa,NE,583,17,Others,Ethnic,0,5,4,present,present,absent,absent,present,present,absent,red,1,0,0,0,0,absent,absent,present,absent,absent,black,green
Kiribati,Oceania,NE,0,0,English,Other-Christian,0,0,4,present,absent,present,present,present,absent,absent,red,0,0,0,0,1,absent,absent,present,present,absent,red,blue
Kuwait,Asia,NE,18,2,Arabic,Muslim,0,3,4,present,present,absent,absent,present,present,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,green,red
Laos,Asia,NE,236,3,Others,Marxist,0,3,3,present,absent,present,absent,present,absent,absent,red,1,0,0,0,0,absent,absent,absent,absent,absent,red,red
Lebanon,Asia,NE,10,3,Arabic,Muslim,0,2,4,present,present,absent,absent,present,absent,present,red,0,0,0,0,0,absent,absent,absent,present,absent,red,red
Lesotho,Africa,SE,30,1,Others,Ethnic,2,0,4,present,present,present,absent,present,absent,absent,blue,0,0,0,0,0,absent,absent,present,absent,absent,green,blue
Liberia,Africa,NW,111,1,Others,Ethnic,0,11,3,present,absent,present,absent,present,absent,absent,red,0,0,0,1,1,absent,absent,absent,absent,absent,blue,red
Libya,Africa,NE,1760,3,Arabic,Muslim,0,0,1,absent,present,absent,absent,absent,absent,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,green,green
Liechtenstein,Europe,NE,0,0,German,Catholic,0,2,3,present,absent,present,present,absent,absent,absent,red,0,0,0,0,0,absent,absent,present,absent,absent,blue,red
Luxembourg,Europe,NE,3,0,German,Catholic,0,3,3,present,absent,present,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,blue
Malagasy,Africa,SE,587,9,Others,Other-Christian,1,2,3,present,present,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,white,green
Malawi,Africa,SE,118,6,Others,Ethnic,0,3,3,present,present,absent,absent,absent,present,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,black,green
Malaysia,Asia,NE,333,13,Others,Muslim,0,14,4,present,absent,present,present,present,absent,absent,red,0,0,0,1,1,present,absent,absent,absent,absent,blue,white
Maldive-Islands,Asia,NE,0,0,Others,Muslim,0,0,3,present,present,absent,absent,present,absent,absent,red,0,0,0,0,0,present,absent,absent,absent,absent,red,red
Mali,Africa,NW,1240,7,French,Muslim,3,0,3,present,present,absent,present,absent,absent,absent,gold,0,0,0,0,0,absent,absent,absent,absent,absent,green,red
Malta,Europe,NE,0,0,Others,Catholic,2,0,3,present,absent,absent,absent,present,present,absent,red,0,1,0,0,0,absent,absent,present,absent,absent,white,red
Marianas,Oceania,NE,0,0,Others,Other-Christian,0,0,3,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,1,absent,absent,present,absent,absent,blue,blue
Mauritania,Africa,NW,1031,2,Arabic,Muslim,0,0,2,absent,present,absent,present,absent,absent,absent,green,0,0,0,0,1,present,absent,absent,absent,absent,green,green
Mauritius,Africa,SE,2,1,English,Hindu,0,4,4,present,present,present,present,absent,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Mexico,N.America,NW,1973,77,Spanish,Catholic,3,0,4,present,present,absent,absent,present,absent,present,green,0,0,0,0,0,absent,absent,absent,present,absent,green,red
Micronesia,Oceania,NE,1,0,Others,Other-Christian,0,0,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,4,absent,absent,absent,absent,absent,blue,blue
Monaco,Europe,NE,0,0,French,Catholic,0,2,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,white
Mongolia,Asia,NE,1566,2,Others,Marxist,3,0,3,present,absent,present,present,absent,absent,absent,red,2,0,0,0,1,present,present,present,absent,absent,red,red
Montserrat,N.America,NW,0,0,English,Other-Christian,0,0,7,present,present,present,present,present,present,absent,blue,0,2,1,1,0,absent,absent,present,present,absent,white,blue
Morocco,Africa,NW,447,20,Arabic,Muslim,0,0,2,present,present,absent,absent,absent,absent,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,red,red
Mozambique,Africa,SE,783,12,Others,Ethnic,0,5,5,present,present,absent,present,present,present,absent,gold,0,0,0,0,1,absent,present,present,absent,absent,green,gold
Nauru,Oceania,SE,0,0,Others,Other-Christian,0,3,3,absent,absent,present,present,present,absent,absent,blue,0,0,0,0,1,absent,absent,absent,absent,absent,blue,blue
Nepal,Asia,NE,140,16,Others,Hindu,0,0,3,absent,absent,present,absent,present,absent,present,brown,0,0,0,0,2,present,absent,absent,absent,absent,blue,blue
Netherlands,Europe,NE,41,14,Other-Indo-European,Other-Christian,0,3,3,present,absent,present,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,blue
Netherlands-Antilles,N.America,NW,0,0,Other-Indo-European,Other-Christian,0,1,3,present,absent,present,absent,present,absent,absent,white,0,0,0,0,6,absent,absent,absent,absent,absent,white,white
New-Zealand,Oceania,SE,268,2,English,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,blue,0,1,1,1,4,absent,absent,absent,absent,absent,white,blue
Nicaragua,N.America,NW,128,3,Spanish,Catholic,0,3,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,0,absent,absent,absent,absent,absent,blue,blue
Niger,Africa,NE,1267,5,French,Muslim,0,3,3,absent,present,absent,absent,present,absent,present,orange,1,0,0,0,0,absent,absent,absent,absent,absent,orange,green
Nigeria,Africa,NE,925,56,Others,Muslim,3,0,2,absent,present,absent,absent,present,absent,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,green,green
Niue,Oceania, SW,0,0,English,Other-Christian,0,0,4,present,absent,present,present,present,absent,absent,gold,1,1,1,1,5,absent,absent,absent,absent,absent,white,gold
North-Korea,Asia,NE,121,18,Others,Marxist,0,5,3,present,absent,present,absent,present,absent,absent,blue,1,0,0,0,1,absent,absent,absent,absent,absent,blue,blue
North-Yemen,Asia,NE,195,9,Arabic,Muslim,0,3,4,present,present,absent,absent,present,present,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,red,black
Norway,Europe,NE,324,4,Other-Indo-European,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,red,0,1,0,0,0,absent,absent,absent,absent,absent,red,red
Oman,Asia,NE,212,1,Arabic,Muslim,0,2,3,present,present,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,present,absent,absent,red,green
Pakistan,Asia,NE,804,84,Other-Indo-European,Muslim,1,0,2,absent,present,absent,absent,present,absent,absent,green,0,0,0,0,1,present,absent,absent,absent,absent,white,green
Panama,S.America,NW,76,2,Spanish,Catholic,0,0,3,present,absent,present,absent,present,absent,absent,red,0,0,0,4,2,absent,absent,absent,absent,absent,white,white
Papua-New-Guinea,Oceania,SE,463,3,English,Ethnic,0,0,4,present,absent,absent,present,present,present,absent,black,0,0,0,0,5,absent,present,absent,present,absent,red,black
Parguay,S.America, SW,407,3,Spanish,Catholic,0,3,6,present,present,present,present,present,present,absent,red,1,0,0,0,1,absent,absent,present,present,present,red,blue
Peru,S.America, SW,1285,14,Spanish,Catholic,3,0,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,red
Philippines,Oceania,NE,300,48,Others,Catholic,0,0,4,present,absent,present,present,present,absent,absent,blue,0,0,0,0,4,absent,present,absent,absent,absent,blue,red
Poland,Europe,NE,313,36,Slavic,Marxist,0,2,2,present,absent,absent,absent,present,absent,absent,white,0,0,0,0,0,absent,absent,absent,absent,absent,white,red
Portugal,Europe,NW,92,10,Other-Indo-European,Catholic,0,0,5,present,present,present,present,present,absent,absent,red,1,0,0,0,0,absent,absent,present,absent,absent,green,red
Puerto-Rico,N.America,NW,9,3,Spanish,Catholic,0,5,3,present,absent,present,absent,present,absent,absent,red,0,0,0,0,1,absent,present,absent,absent,absent,red,red
Qatar,Asia,NE,11,0,Arabic,Muslim,0,0,2,absent,absent,absent,absent,present,absent,present,brown,0,0,0,0,0,absent,absent,absent,absent,absent,white,brown
Romania,Europe,NE,237,22,Other-Indo-European,Marxist,3,0,7,present,present,present,present,present,absent,present,red,0,0,0,0,2,absent,absent,present,present,present,blue,red
Rwanda,Africa,SE,26,5,Others,Ethnic,3,0,4,present,present,absent,present,absent,present,absent,red,0,0,0,0,0,absent,absent,absent,absent,present,red,green
San-Marino,Europe,NE,0,0,Other-Indo-European,Catholic,0,2,2,absent,absent,present,absent,present,absent,absent,white,0,0,0,0,0,absent,absent,absent,absent,absent,white,blue
Sao-Tome,Africa,NE,0,0,Other-Indo-European,Catholic,0,3,4,present,present,absent,present,absent,present,absent,green,0,0,0,0,2,absent,present,absent,absent,absent,green,green
Saudi-Arabia,Asia,NE,2150,9,Arabic,Muslim,0,0,2,absent,present,absent,absent,present,absent,absent,green,0,0,0,0,0,absent,absent,present,absent,present,green,green
Senegal,Africa,NW,196,6,French,Muslim,3,0,3,present,present,absent,present,absent,absent,absent,green,0,0,0,0,1,absent,absent,absent,absent,absent,green,red
Seychelles,Africa,SE,0,0,English,Other-Christian,0,0,3,present,present,absent,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,green
Sierra-Leone,Africa,NW,72,3,English,Ethnic,0,3,3,absent,present,present,absent,present,absent,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,green,blue
Singapore,Asia,NE,1,3,Chinese,Buddhist,0,2,2,present,absent,absent,absent,present,absent,absent,white,0,0,0,0,5,present,absent,absent,absent,absent,red,white
Soloman-Islands,Oceania,SE,30,0,English,Other-Christian,0,0,4,absent,present,present,present,present,absent,absent,green,0,0,0,0,5,absent,present,absent,absent,absent,blue,green
Somalia,Africa,NE,637,5,Others,Muslim,0,0,2,absent,absent,present,absent,present,absent,absent,blue,0,0,0,0,1,absent,absent,absent,absent,absent,blue,blue
South-Africa,Africa,SE,1221,29,Other-Indo-European,Other-Christian,0,3,5,present,present,present,absent,present,absent,present,orange,0,1,1,0,0,absent,absent,absent,absent,absent,orange,blue
South-Korea,Asia,NE,99,39,Others,Others,0,0,4,present,absent,present,absent,present,present,absent,white,1,0,0,0,0,absent,absent,present,absent,absent,white,white
South-Yemen,Asia,NE,288,2,Arabic,Muslim,0,3,4,present,absent,present,absent,present,present,absent,red,0,0,0,0,1,absent,present,absent,absent,absent,red,black
Spain,Europe,NW,505,38,Spanish,Catholic,0,3,2,present,absent,absent,present,absent,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,red
Sri-Lanka,Asia,NE,66,15,Others,Buddhist,2,0,4,absent,present,absent,present,absent,absent,present,gold,0,0,0,0,0,absent,absent,present,present,absent,gold,gold
St-Helena,Africa, SW,0,0,English,Other-Christian,0,0,7,present,present,present,present,present,absent,present,blue,0,1,1,1,0,absent,absent,present,absent,absent,white,blue
St-Kitts-Nevis,N.America,NW,0,0,English,Other-Christian,0,0,5,present,present,absent,present,present,present,absent,green,0,0,0,0,2,absent,present,absent,absent,absent,green,red
St-Lucia,N.America,NW,0,0,English,Other-Christian,0,0,4,absent,absent,present,present,present,present,absent,blue,0,0,0,0,0,absent,present,absent,absent,absent,blue,blue
St-Vincent,N.America,NW,0,0,English,Other-Christian,5,0,4,absent,present,present,present,present,absent,absent,green,0,0,0,0,0,absent,absent,present,present,present,blue,green
Sudan,Africa,NE,2506,20,Arabic,Muslim,0,3,4,present,present,absent,absent,present,present,absent,red,0,0,0,0,0,absent,present,absent,absent,absent,red,black
Surinam,S.America,NW,63,0,Other-Indo-European,Other-Christian,0,5,4,present,present,absent,present,present,absent,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,green,green
Swaziland,Africa,SE,17,1,Others,Other-Christian,0,5,7,present,absent,present,present,present,present,present,blue,0,0,0,0,0,absent,absent,present,absent,absent,blue,blue
Sweden,Europe,NE,450,8,Other-Indo-European,Other-Christian,0,0,2,absent,absent,present,present,absent,absent,absent,blue,0,1,0,0,0,absent,absent,absent,absent,absent,blue,blue
Switzerland,Europe,NE,41,6,German,Other-Christian,0,0,2,present,absent,absent,absent,present,absent,absent,red,0,1,0,0,0,absent,absent,absent,absent,absent,red,red
