language-spoken,course-instructor,course,semester,evaluation
Non-English-Speaker,c13,c3,Summer,High
Non-English-Speaker,c18,c21,Regular,High
English-Speaker,c22,c3,Regular,High
Non-English-Speaker,c7,c11,Summer,High
Non-English-Speaker,c23,c3,Summer,High
English-Speaker,c23,c3,Summer,High
English-Speaker,c23,c3,Regular,High
Non-English-Speaker,c14,c22,Regular,High
English-Speaker,c17,c17,Regular,High
Non-English-Speaker,c9,c5,Regular,High
Non-English-Speaker,c18,c25,Regular,High
English-Speaker,c17,c17,Regular,High
Non-English-Speaker,c1,c15,Regular,High
Non-English-Speaker,c1,c8,Regular,Medium
English-Speaker,c11,c16,Regular,Medium
English-Speaker,c22,c13,Regular,Medium
Non-English-Speaker,c9,c2,Regular,Medium
Non-English-Speaker,c13,c1,Regular,Medium
English-Speaker,c6,c17,Regular,Medium
Non-English-Speaker,c23,c3,Summer,Medium
English-Speaker,c23,c3,Summer,Medium
Non-English-Speaker,c6,c17,Regular,Medium
English-Speaker,c22,c3,Regular,Medium
Non-English-Speaker,c20,c2,Regular,Medium
Non-English-Speaker,c23,c3,Regular,Medium
Non-English-Speaker,c20,c2,Regular,Low
English-Speaker,c23,c3,Regular,Low
Non-English-Speaker,c13,c1,Regular,Low
Non-English-Speaker,c10,c3,Regular,Low
Non-English-Speaker,c7,c11,Regular,Low
English-Speaker,c14,c15,Regular,Low
Non-English-Speaker,c8,c3,Regular,Low
Non-English-Speaker,c12,c7,Regular,Low
Non-English-Speaker,c8,c7,Regular,Low
Non-English-Speaker,c15,c1,Regular,Low
Non-English-Speaker,c23,c3,Regular,Low
Non-English-Speaker,c2,c9,Regular,Low
Non-English-Speaker,c15,c1,Regular,Low
Non-English-Speaker,c20,c2,Regular,Low
Non-English-Speaker,c13,c14,Regular,High
Non-English-Speaker,c9,c6,Regular,High
English-Speaker,c10,c3,Regular,High
Non-English-Speaker,c14,c15,Regular,High
English-Speaker,c13,c1,Regular,High
English-Speaker,c8,c3,Regular,High
Non-English-Speaker,c20,c2,Regular,High
Non-English-Speaker,c22,c1,Regular,Medium
Non-English-Speaker,c18,c12,Regular,Medium
Non-English-Speaker,c20,c15,Regular,Medium
English-Speaker,c17,c18,Regular,Medium
Non-English-Speaker,c14,c23,Regular,Medium
Non-English-Speaker,c24,c26,Regular,Medium
Non-English-Speaker,c9,c24,Regular,Medium
Non-English-Speaker,c12,c8,Regular,Medium
Non-English-Speaker,c9,c6,Regular,Medium
Non-English-Speaker,c22,c1,Regular,Medium
Non-English-Speaker,c7,c11,Regular,Low
Non-English-Speaker,c10,c3,Regular,Low
Non-English-Speaker,c23,c3,Regular,Low
Non-English-Speaker,c17,c18,Regular,Low
Non-English-Speaker,c16,c20,Regular,Low
Non-English-Speaker,c3,c2,Regular,Low
Non-English-Speaker,c19,c4,Regular,Low
Non-English-Speaker,c23,c3,Regular,Low
Non-English-Speaker,c3,c2,Regular,Low
Non-English-Speaker,c10,c3,Regular,Low
English-Speaker,c18,c7,Regular,Low
Non-English-Speaker,c22,c1,Regular,Low
Non-English-Speaker,c2,c10,Regular,Low
