Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Number of Samples Forcing a Leaf,Maximum Depth Allowed,Number of folds,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Uses Monte Carlo,Are Attributes in Random Order?,U [between 0 and 1],L [between 0 and 1],prob_monte_carlo [between 0 and 1],Average Number of Valid Attributes in Root Node (m),Average Number of Nodes (after prunning),Average Tree Depth (after prunning),Total Time Taken for Cross-Validation [s],Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Average Number of Nodes Pruned
2017-04-11 16:50:10.726418,Adult Census Income,32561,5,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,2.543130000005476,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 16:50:11.905660,Mushroom,5644,1,Gini Gain,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.983267788993544,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:13.314303,Mushroom,5644,2,Gini Gain,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.4083972810039995,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:14.695685,Mushroom,5644,3,Gini Gain,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.3810961669951212,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:15.988043,Mushroom,5644,4,Gini Gain,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.292098267993424,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:17.085493,Mushroom,5644,5,Gini Gain,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.0971943550102878,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:18.193730,Mushroom,5644,1,Twoing,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.1079882079939125,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:19.304530,Mushroom,5644,2,Twoing,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.1105666719959117,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:20.295684,Mushroom,5644,3,Twoing,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.9909315149998292,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:21.245850,Mushroom,5644,4,Twoing,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.9499565639998764,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:22.201009,Mushroom,5644,5,Twoing,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.9549478929984616,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:23.277116,Mushroom,5644,1,Gain Ratio,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,1.0758782670018263,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:24.198216,Mushroom,5644,2,Gain Ratio,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.9208870779984863,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:25.097016,Mushroom,5644,3,Gain Ratio,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.8985744550009258,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:25.972812,Mushroom,5644,4,Gain Ratio,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.8755714650033042,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:26.848995,Mushroom,5644,5,Gain Ratio,1,5,10,False,None,False,False,None,None,None,22.0,1.0,0.0,0.8759634000016376,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 16:50:27.800499,Nursery,12960,1,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8034009330003755,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:28.691644,Nursery,12960,2,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8908679260057397,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:29.554993,Nursery,12960,3,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8630752540047979,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:30.414453,Nursery,12960,4,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8591875349957263,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:31.273366,Nursery,12960,5,Gini Gain,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.858640523001668,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:32.187350,Nursery,12960,1,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.9136911749956198,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:33.013125,Nursery,12960,2,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.825491237003007,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:33.815185,Nursery,12960,3,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8017650219990173,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:34.623820,Nursery,12960,4,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8083360269956756,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:35.473682,Nursery,12960,5,Twoing,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8495962729939492,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:36.338926,Nursery,12960,1,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8649604720121715,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:37.217138,Nursery,12960,2,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8779348340030992,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:38.093413,Nursery,12960,3,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8759923790057655,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:38.982026,Nursery,12960,4,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.8883279110013973,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:50:39.923453,Nursery,12960,5,Gain Ratio,1,5,10,False,None,False,False,None,None,None,8.0,1.0,0.0,0.941125553988968,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 16:53:05.237052,Poker Hand,1000000,1,Gini Gain,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,127.10754483300843,50.1209,50.1209,0,0.0
2017-04-11 16:55:15.706580,Poker Hand,1000000,2,Gini Gain,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,130.43380737499683,50.1209,50.1209,0,0.0
2017-04-11 16:57:22.083073,Poker Hand,1000000,3,Gini Gain,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,126.34217132300546,50.1209,50.1209,0,0.0
2017-04-11 16:59:29.043879,Poker Hand,1000000,4,Gini Gain,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,126.92826964300184,50.1209,50.1209,0,0.0
2017-04-11 17:01:33.455657,Poker Hand,1000000,5,Gini Gain,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,124.37966401799349,50.1209,50.1209,0,0.0
2017-04-11 17:03:40.502310,Poker Hand,1000000,1,Twoing,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,127.01402238999435,50.1209,50.1209,0,0.0
2017-04-11 17:05:39.513185,Poker Hand,1000000,2,Twoing,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,118.97811029099103,50.1209,50.1209,0,0.0
2017-04-11 17:07:42.046840,Poker Hand,1000000,3,Twoing,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,122.50122349099547,50.1209,50.1209,0,0.0
2017-04-11 17:09:44.636763,Poker Hand,1000000,4,Twoing,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,122.55766420999134,50.1209,50.1209,0,0.0
2017-04-11 17:11:46.791513,Poker Hand,1000000,5,Twoing,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,122.12223913500202,50.1209,50.1209,0,0.0
2017-04-11 17:13:46.465710,Poker Hand,1000000,1,Gain Ratio,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,119.63504426399595,50.1209,50.1209,0,0.0
2017-04-11 17:15:46.534029,Poker Hand,1000000,2,Gain Ratio,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,120.03380018399912,50.1209,50.1209,0,0.0
2017-04-11 17:17:44.262419,Poker Hand,1000000,3,Gain Ratio,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,117.69586139300372,50.1209,50.1209,0,0.0
2017-04-11 17:19:37.092529,Poker Hand,1000000,4,Gain Ratio,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,112.7952195849939,50.1209,50.1209,0,0.0
2017-04-11 17:21:30.271892,Poker Hand,1000000,5,Gain Ratio,1,5,10,False,None,False,False,None,None,None,10.0,1.0,0.0,113.1396437700023,50.1209,50.1209,0,0.0
2017-04-11 17:21:30.593285,Titanic Survive,2201,1,Gini Gain,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05731103599828202,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.648724,Titanic Survive,2201,2,Gini Gain,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.055242141999769956,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.703749,Titanic Survive,2201,3,Gini Gain,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.054853458001161925,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.759500,Titanic Survive,2201,4,Gini Gain,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05558736699458677,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.820068,Titanic Survive,2201,5,Gini Gain,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.0603980390005745,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.875478,Titanic Survive,2201,1,Twoing,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05523092999646906,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.932274,Titanic Survive,2201,2,Twoing,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.056628175007062964,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:30.989178,Titanic Survive,2201,3,Twoing,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05669852100254502,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.045694,Titanic Survive,2201,4,Twoing,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05633793999732006,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.103429,Titanic Survive,2201,5,Twoing,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05754497699672356,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.158568,Titanic Survive,2201,1,Gain Ratio,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.054930772006628104,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.213515,Titanic Survive,2201,2,Gain Ratio,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05476800099131651,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.268674,Titanic Survive,2201,3,Gain Ratio,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05495541500567924,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.323281,Titanic Survive,2201,4,Gain Ratio,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05441823998990003,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:31.380635,Titanic Survive,2201,5,Gain Ratio,1,5,10,False,None,False,False,None,None,None,3.0,1.0,0.0,0.05715196899836883,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:21:34.290332,Adult Census Income,32561,1,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.489497102011228,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:36.918458,Adult Census Income,32561,2,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.6276091909967363,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:39.114272,Adult Census Income,32561,3,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.195348083987483,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:41.317645,Adult Census Income,32561,4,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.202905757003464,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:43.667739,Adult Census Income,32561,5,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.3496183040115284,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:45.952152,Adult Census Income,32561,1,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.2839354519965127,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:48.181929,Adult Census Income,32561,2,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.229284971996094,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:50.517592,Adult Census Income,32561,3,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.335185108007863,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:52.934140,Adult Census Income,32561,4,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.4160658409964526,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:56.410097,Adult Census Income,32561,5,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,3.475256031000754,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:21:59.513654,Adult Census Income,32561,1,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,3.102747579003335,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:22:02.375751,Adult Census Income,32561,2,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.861393651997787,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:22:05.058348,Adult Census Income,32561,3,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.682114687995636,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:22:07.751442,Adult Census Income,32561,4,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.6925958469946636,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:22:10.324769,Adult Census Income,32561,5,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,2.5728186210035346,75.91904425539757,75.91904425539757,0,0.0
2017-04-11 17:22:11.504473,Mushroom,5644,1,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9592693000013242,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:12.502922,Mushroom,5644,2,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.998231968987966,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:13.498715,Mushroom,5644,3,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.995585430006031,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:14.413675,Mushroom,5644,4,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9147226799977943,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:15.304179,Mushroom,5644,5,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.8902728029934224,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:16.186988,Mushroom,5644,1,Twoing,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.8825777290039696,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:17.097029,Mushroom,5644,2,Twoing,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9098133399966173,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:18.037964,Mushroom,5644,3,Twoing,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9407179199915845,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:18.990199,Mushroom,5644,4,Twoing,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9520365659991512,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:19.956283,Mushroom,5644,5,Twoing,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9658798379969085,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:20.900384,Mushroom,5644,1,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.943885151995346,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:21.817157,Mushroom,5644,2,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9165682589955395,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:22.711922,Mushroom,5644,3,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.8945471990009537,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:23.623802,Mushroom,5644,4,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.9116532769985497,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:24.501048,Mushroom,5644,5,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,22.0,1.0,0.0,0.8770098369859625,61.800141743444364,61.800141743444364,0,0.0
2017-04-11 17:22:25.463130,Nursery,12960,1,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.8136029960005544,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:26.303324,Nursery,12960,2,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.8399258680001367,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:27.148310,Nursery,12960,3,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.8447214699990582,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:27.992969,Nursery,12960,4,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.8443908100016415,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:28.860721,Nursery,12960,5,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.8674709940096363,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:29.822198,Nursery,12960,1,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.9611229459987953,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:31.027578,Nursery,12960,2,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,1.2050220929959323,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:32.247575,Nursery,12960,3,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,1.219639005998033,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:33.446486,Nursery,12960,4,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,1.1985725039994577,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:34.398075,Nursery,12960,5,Twoing,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.9513001729937969,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:35.358123,Nursery,12960,1,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.9597447270061821,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:36.333893,Nursery,12960,2,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.9754767999984324,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:37.315764,Nursery,12960,3,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.9815751209971495,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:38.174439,Nursery,12960,4,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.85838474999764,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:22:39.015821,Nursery,12960,5,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,8.0,1.0,0.0,0.8411141050019069,33.333333333333336,33.333333333333336,0,0.0
2017-04-11 17:24:51.410313,Poker Hand,1000000,1,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,115.08158139100124,50.1209,50.1209,0,0.0
2017-04-11 17:26:46.193690,Poker Hand,1000000,2,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,114.7494129389961,50.1209,50.1209,0,0.0
2017-04-11 17:28:44.951083,Poker Hand,1000000,3,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,118.72310308899614,50.1209,50.1209,0,0.0
2017-04-11 17:30:31.828537,Poker Hand,1000000,4,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,106.84387191600399,50.1209,50.1209,0,0.0
2017-04-11 17:32:18.363325,Poker Hand,1000000,5,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,106.50185887199768,50.1209,50.1209,0,0.0
2017-04-11 17:34:04.534014,Poker Hand,1000000,1,Twoing,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,106.1373699720134,50.1209,50.1209,0,0.0
2017-04-11 17:35:53.157151,Poker Hand,1000000,2,Twoing,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,108.58954663100303,50.1209,50.1209,0,0.0
2017-04-11 17:37:42.056291,Poker Hand,1000000,3,Twoing,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,108.8661455729889,50.1209,50.1209,0,0.0
2017-04-11 17:39:29.531371,Poker Hand,1000000,4,Twoing,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,107.43573782099702,50.1209,50.1209,0,0.0
2017-04-11 17:41:17.772555,Poker Hand,1000000,5,Twoing,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,108.20815438799036,50.1209,50.1209,0,0.0
2017-04-11 17:43:03.755070,Poker Hand,1000000,1,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,105.94969301999663,50.1209,50.1209,0,0.0
2017-04-11 17:44:50.650370,Poker Hand,1000000,2,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,106.86260469100671,50.1209,50.1209,0,0.0
2017-04-11 17:46:39.784322,Poker Hand,1000000,3,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,109.09717836200434,50.1209,50.1209,0,0.0
2017-04-11 17:48:29.179232,Poker Hand,1000000,4,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,109.36226696100493,50.1209,50.1209,0,0.0
2017-04-11 17:50:15.228629,Poker Hand,1000000,5,Gain Ratio,1,5,10,True,0.1,False,False,None,None,None,10.0,1.0,0.0,106.01669952800148,50.1209,50.1209,0,0.0
2017-04-11 17:50:15.544621,Titanic Survive,2201,1,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,3.0,1.0,0.0,0.055399268996552564,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:50:15.598512,Titanic Survive,2201,2,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,3.0,1.0,0.0,0.05371133099833969,67.69650159018627,67.69650159018627,0,0.0
2017-04-11 17:50:15.652614,Titanic Survive,2201,3,Gini Gain,1,5,10,True,0.1,False,False,None,None,None,3.0,1.0,0.0,0.05394201900344342,67.69650159018627,67.69650159018627,0,0.0
