parents,has_nurs,form,children,housing,finance,social,health,NewAttrib1,NewAttrib2,NewAttrib3,class
usual,proper,complete,2,convenient,convenient,nonprob,not_recom,usualproper,complete2convenientconvenient,nonprobnot_recom,not_recom
usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,usualproper,complete2convenientconvenient,slightly_probrecommended,very_recom
usual,proper,complete,2,convenient,convenient,slightly_prob,priority,usualproper,complete2convenientconvenient,slightly_probpriority,priority
usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,usualproper,complete2convenientconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,2,convenient,convenient,problematic,recommended,usualproper,complete2convenientconvenient,problematicrecommended,priority
usual,proper,complete,2,convenient,convenient,problematic,priority,usualproper,complete2convenientconvenient,problematicpriority,priority
usual,proper,complete,2,convenient,convenient,problematic,not_recom,usualproper,complete2convenientconvenient,problematicnot_recom,not_recom
usual,proper,complete,2,convenient,inconv,nonprob,recommended,usualproper,complete2convenientinconv,nonprobrecommended,very_recom
usual,proper,complete,2,convenient,inconv,nonprob,priority,usualproper,complete2convenientinconv,nonprobpriority,priority
usual,proper,complete,2,convenient,inconv,nonprob,not_recom,usualproper,complete2convenientinconv,nonprobnot_recom,not_recom
usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,usualproper,complete2convenientinconv,slightly_probrecommended,very_recom
usual,proper,complete,2,convenient,inconv,slightly_prob,priority,usualproper,complete2convenientinconv,slightly_probpriority,priority
usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,usualproper,complete2convenientinconv,slightly_probnot_recom,not_recom
usual,proper,complete,2,convenient,inconv,problematic,recommended,usualproper,complete2convenientinconv,problematicrecommended,priority
usual,proper,complete,2,convenient,inconv,problematic,priority,usualproper,complete2convenientinconv,problematicpriority,priority
usual,proper,complete,2,convenient,inconv,problematic,not_recom,usualproper,complete2convenientinconv,problematicnot_recom,not_recom
usual,proper,complete,2,less_conv,convenient,nonprob,recommended,usualproper,complete2less_convconvenient,nonprobrecommended,very_recom
usual,proper,complete,2,less_conv,convenient,nonprob,priority,usualproper,complete2less_convconvenient,nonprobpriority,priority
usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,usualproper,complete2less_convconvenient,nonprobnot_recom,not_recom
usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,usualproper,complete2less_convconvenient,slightly_probrecommended,very_recom
usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,usualproper,complete2less_convconvenient,slightly_probpriority,priority
usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,usualproper,complete2less_convconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,2,less_conv,convenient,problematic,recommended,usualproper,complete2less_convconvenient,problematicrecommended,priority
usual,proper,complete,2,less_conv,convenient,problematic,priority,usualproper,complete2less_convconvenient,problematicpriority,priority
usual,proper,complete,2,less_conv,convenient,problematic,not_recom,usualproper,complete2less_convconvenient,problematicnot_recom,not_recom
usual,proper,complete,2,less_conv,inconv,nonprob,recommended,usualproper,complete2less_convinconv,nonprobrecommended,very_recom
usual,proper,complete,2,less_conv,inconv,nonprob,priority,usualproper,complete2less_convinconv,nonprobpriority,priority
usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,usualproper,complete2less_convinconv,nonprobnot_recom,not_recom
usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,usualproper,complete2less_convinconv,slightly_probrecommended,very_recom
usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,usualproper,complete2less_convinconv,slightly_probpriority,priority
usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,usualproper,complete2less_convinconv,slightly_probnot_recom,not_recom
usual,proper,complete,2,less_conv,inconv,problematic,recommended,usualproper,complete2less_convinconv,problematicrecommended,priority
usual,proper,complete,2,less_conv,inconv,problematic,priority,usualproper,complete2less_convinconv,problematicpriority,priority
usual,proper,complete,2,less_conv,inconv,problematic,not_recom,usualproper,complete2less_convinconv,problematicnot_recom,not_recom
usual,proper,complete,2,critical,convenient,nonprob,recommended,usualproper,complete2criticalconvenient,nonprobrecommended,priority
usual,proper,complete,2,critical,convenient,nonprob,priority,usualproper,complete2criticalconvenient,nonprobpriority,priority
usual,proper,complete,2,critical,convenient,nonprob,not_recom,usualproper,complete2criticalconvenient,nonprobnot_recom,not_recom
usual,proper,complete,2,critical,convenient,slightly_prob,recommended,usualproper,complete2criticalconvenient,slightly_probrecommended,priority
usual,proper,complete,2,critical,convenient,slightly_prob,priority,usualproper,complete2criticalconvenient,slightly_probpriority,priority
usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,usualproper,complete2criticalconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,2,critical,convenient,problematic,recommended,usualproper,complete2criticalconvenient,problematicrecommended,priority
usual,proper,complete,2,critical,convenient,problematic,priority,usualproper,complete2criticalconvenient,problematicpriority,priority
usual,proper,complete,2,critical,convenient,problematic,not_recom,usualproper,complete2criticalconvenient,problematicnot_recom,not_recom
usual,proper,complete,2,critical,inconv,nonprob,recommended,usualproper,complete2criticalinconv,nonprobrecommended,priority
usual,proper,complete,2,critical,inconv,nonprob,priority,usualproper,complete2criticalinconv,nonprobpriority,priority
usual,proper,complete,2,critical,inconv,nonprob,not_recom,usualproper,complete2criticalinconv,nonprobnot_recom,not_recom
usual,proper,complete,2,critical,inconv,slightly_prob,recommended,usualproper,complete2criticalinconv,slightly_probrecommended,priority
usual,proper,complete,2,critical,inconv,slightly_prob,priority,usualproper,complete2criticalinconv,slightly_probpriority,priority
usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,usualproper,complete2criticalinconv,slightly_probnot_recom,not_recom
usual,proper,complete,2,critical,inconv,problematic,recommended,usualproper,complete2criticalinconv,problematicrecommended,priority
usual,proper,complete,2,critical,inconv,problematic,priority,usualproper,complete2criticalinconv,problematicpriority,priority
usual,proper,complete,2,critical,inconv,problematic,not_recom,usualproper,complete2criticalinconv,problematicnot_recom,not_recom
usual,proper,complete,3,convenient,convenient,nonprob,recommended,usualproper,complete3convenientconvenient,nonprobrecommended,very_recom
usual,proper,complete,3,convenient,convenient,nonprob,priority,usualproper,complete3convenientconvenient,nonprobpriority,priority
usual,proper,complete,3,convenient,convenient,nonprob,not_recom,usualproper,complete3convenientconvenient,nonprobnot_recom,not_recom
usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,usualproper,complete3convenientconvenient,slightly_probrecommended,very_recom
usual,proper,complete,3,convenient,convenient,slightly_prob,priority,usualproper,complete3convenientconvenient,slightly_probpriority,priority
usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,usualproper,complete3convenientconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,3,convenient,convenient,problematic,recommended,usualproper,complete3convenientconvenient,problematicrecommended,priority
usual,proper,complete,3,convenient,convenient,problematic,priority,usualproper,complete3convenientconvenient,problematicpriority,priority
usual,proper,complete,3,convenient,convenient,problematic,not_recom,usualproper,complete3convenientconvenient,problematicnot_recom,not_recom
usual,proper,complete,3,convenient,inconv,nonprob,recommended,usualproper,complete3convenientinconv,nonprobrecommended,priority
usual,proper,complete,3,convenient,inconv,nonprob,priority,usualproper,complete3convenientinconv,nonprobpriority,priority
usual,proper,complete,3,convenient,inconv,nonprob,not_recom,usualproper,complete3convenientinconv,nonprobnot_recom,not_recom
usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,usualproper,complete3convenientinconv,slightly_probrecommended,priority
usual,proper,complete,3,convenient,inconv,slightly_prob,priority,usualproper,complete3convenientinconv,slightly_probpriority,priority
usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,usualproper,complete3convenientinconv,slightly_probnot_recom,not_recom
usual,proper,complete,3,convenient,inconv,problematic,recommended,usualproper,complete3convenientinconv,problematicrecommended,priority
usual,proper,complete,3,convenient,inconv,problematic,priority,usualproper,complete3convenientinconv,problematicpriority,priority
usual,proper,complete,3,convenient,inconv,problematic,not_recom,usualproper,complete3convenientinconv,problematicnot_recom,not_recom
usual,proper,complete,3,less_conv,convenient,nonprob,recommended,usualproper,complete3less_convconvenient,nonprobrecommended,priority
usual,proper,complete,3,less_conv,convenient,nonprob,priority,usualproper,complete3less_convconvenient,nonprobpriority,priority
usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,usualproper,complete3less_convconvenient,nonprobnot_recom,not_recom
usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,usualproper,complete3less_convconvenient,slightly_probrecommended,priority
usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,usualproper,complete3less_convconvenient,slightly_probpriority,priority
usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,usualproper,complete3less_convconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,3,less_conv,convenient,problematic,recommended,usualproper,complete3less_convconvenient,problematicrecommended,priority
usual,proper,complete,3,less_conv,convenient,problematic,priority,usualproper,complete3less_convconvenient,problematicpriority,priority
usual,proper,complete,3,less_conv,convenient,problematic,not_recom,usualproper,complete3less_convconvenient,problematicnot_recom,not_recom
usual,proper,complete,3,less_conv,inconv,nonprob,recommended,usualproper,complete3less_convinconv,nonprobrecommended,priority
usual,proper,complete,3,less_conv,inconv,nonprob,priority,usualproper,complete3less_convinconv,nonprobpriority,priority
usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,usualproper,complete3less_convinconv,nonprobnot_recom,not_recom
usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,usualproper,complete3less_convinconv,slightly_probrecommended,priority
usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,usualproper,complete3less_convinconv,slightly_probpriority,priority
usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,usualproper,complete3less_convinconv,slightly_probnot_recom,not_recom
usual,proper,complete,3,less_conv,inconv,problematic,recommended,usualproper,complete3less_convinconv,problematicrecommended,priority
usual,proper,complete,3,less_conv,inconv,problematic,priority,usualproper,complete3less_convinconv,problematicpriority,priority
usual,proper,complete,3,less_conv,inconv,problematic,not_recom,usualproper,complete3less_convinconv,problematicnot_recom,not_recom
usual,proper,complete,3,critical,convenient,nonprob,recommended,usualproper,complete3criticalconvenient,nonprobrecommended,priority
usual,proper,complete,3,critical,convenient,nonprob,priority,usualproper,complete3criticalconvenient,nonprobpriority,priority
usual,proper,complete,3,critical,convenient,nonprob,not_recom,usualproper,complete3criticalconvenient,nonprobnot_recom,not_recom
usual,proper,complete,3,critical,convenient,slightly_prob,recommended,usualproper,complete3criticalconvenient,slightly_probrecommended,priority
usual,proper,complete,3,critical,convenient,slightly_prob,priority,usualproper,complete3criticalconvenient,slightly_probpriority,priority
usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,usualproper,complete3criticalconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,3,critical,convenient,problematic,recommended,usualproper,complete3criticalconvenient,problematicrecommended,priority
usual,proper,complete,3,critical,convenient,problematic,priority,usualproper,complete3criticalconvenient,problematicpriority,priority
usual,proper,complete,3,critical,convenient,problematic,not_recom,usualproper,complete3criticalconvenient,problematicnot_recom,not_recom
usual,proper,complete,3,critical,inconv,nonprob,recommended,usualproper,complete3criticalinconv,nonprobrecommended,priority
usual,proper,complete,3,critical,inconv,nonprob,priority,usualproper,complete3criticalinconv,nonprobpriority,priority
usual,proper,complete,3,critical,inconv,nonprob,not_recom,usualproper,complete3criticalinconv,nonprobnot_recom,not_recom
usual,proper,complete,3,critical,inconv,slightly_prob,recommended,usualproper,complete3criticalinconv,slightly_probrecommended,priority
usual,proper,complete,3,critical,inconv,slightly_prob,priority,usualproper,complete3criticalinconv,slightly_probpriority,priority
usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,usualproper,complete3criticalinconv,slightly_probnot_recom,not_recom
usual,proper,complete,3,critical,inconv,problematic,recommended,usualproper,complete3criticalinconv,problematicrecommended,priority
usual,proper,complete,3,critical,inconv,problematic,priority,usualproper,complete3criticalinconv,problematicpriority,priority
usual,proper,complete,3,critical,inconv,problematic,not_recom,usualproper,complete3criticalinconv,problematicnot_recom,not_recom
usual,proper,complete,more,convenient,convenient,nonprob,recommended,usualproper,completemoreconvenientconvenient,nonprobrecommended,very_recom
usual,proper,complete,more,convenient,convenient,nonprob,priority,usualproper,completemoreconvenientconvenient,nonprobpriority,priority
usual,proper,complete,more,convenient,convenient,nonprob,not_recom,usualproper,completemoreconvenientconvenient,nonprobnot_recom,not_recom
usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,usualproper,completemoreconvenientconvenient,slightly_probrecommended,very_recom
usual,proper,complete,more,convenient,convenient,slightly_prob,priority,usualproper,completemoreconvenientconvenient,slightly_probpriority,priority
usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom,usualproper,completemoreconvenientconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,more,convenient,convenient,problematic,recommended,usualproper,completemoreconvenientconvenient,problematicrecommended,priority
usual,proper,complete,more,convenient,convenient,problematic,priority,usualproper,completemoreconvenientconvenient,problematicpriority,priority
usual,proper,complete,more,convenient,convenient,problematic,not_recom,usualproper,completemoreconvenientconvenient,problematicnot_recom,not_recom
usual,proper,complete,more,convenient,inconv,nonprob,recommended,usualproper,completemoreconvenientinconv,nonprobrecommended,priority
usual,proper,complete,more,convenient,inconv,nonprob,priority,usualproper,completemoreconvenientinconv,nonprobpriority,priority
usual,proper,complete,more,convenient,inconv,nonprob,not_recom,usualproper,completemoreconvenientinconv,nonprobnot_recom,not_recom
usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,usualproper,completemoreconvenientinconv,slightly_probrecommended,priority
usual,proper,complete,more,convenient,inconv,slightly_prob,priority,usualproper,completemoreconvenientinconv,slightly_probpriority,priority
usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom,usualproper,completemoreconvenientinconv,slightly_probnot_recom,not_recom
usual,proper,complete,more,convenient,inconv,problematic,recommended,usualproper,completemoreconvenientinconv,problematicrecommended,priority
usual,proper,complete,more,convenient,inconv,problematic,priority,usualproper,completemoreconvenientinconv,problematicpriority,priority
usual,proper,complete,more,convenient,inconv,problematic,not_recom,usualproper,completemoreconvenientinconv,problematicnot_recom,not_recom
usual,proper,complete,more,less_conv,convenient,nonprob,recommended,usualproper,completemoreless_convconvenient,nonprobrecommended,priority
usual,proper,complete,more,less_conv,convenient,nonprob,priority,usualproper,completemoreless_convconvenient,nonprobpriority,priority
usual,proper,complete,more,less_conv,convenient,nonprob,not_recom,usualproper,completemoreless_convconvenient,nonprobnot_recom,not_recom
usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended,usualproper,completemoreless_convconvenient,slightly_probrecommended,priority
usual,proper,complete,more,less_conv,convenient,slightly_prob,priority,usualproper,completemoreless_convconvenient,slightly_probpriority,priority
usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,usualproper,completemoreless_convconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,more,less_conv,convenient,problematic,recommended,usualproper,completemoreless_convconvenient,problematicrecommended,priority
usual,proper,complete,more,less_conv,convenient,problematic,priority,usualproper,completemoreless_convconvenient,problematicpriority,priority
usual,proper,complete,more,less_conv,convenient,problematic,not_recom,usualproper,completemoreless_convconvenient,problematicnot_recom,not_recom
usual,proper,complete,more,less_conv,inconv,nonprob,recommended,usualproper,completemoreless_convinconv,nonprobrecommended,priority
usual,proper,complete,more,less_conv,inconv,nonprob,priority,usualproper,completemoreless_convinconv,nonprobpriority,priority
usual,proper,complete,more,less_conv,inconv,nonprob,not_recom,usualproper,completemoreless_convinconv,nonprobnot_recom,not_recom
usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended,usualproper,completemoreless_convinconv,slightly_probrecommended,priority
usual,proper,complete,more,less_conv,inconv,slightly_prob,priority,usualproper,completemoreless_convinconv,slightly_probpriority,priority
usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,usualproper,completemoreless_convinconv,slightly_probnot_recom,not_recom
usual,proper,complete,more,less_conv,inconv,problematic,recommended,usualproper,completemoreless_convinconv,problematicrecommended,priority
usual,proper,complete,more,less_conv,inconv,problematic,priority,usualproper,completemoreless_convinconv,problematicpriority,priority
usual,proper,complete,more,less_conv,inconv,problematic,not_recom,usualproper,completemoreless_convinconv,problematicnot_recom,not_recom
usual,proper,complete,more,critical,convenient,nonprob,recommended,usualproper,completemorecriticalconvenient,nonprobrecommended,priority
usual,proper,complete,more,critical,convenient,nonprob,priority,usualproper,completemorecriticalconvenient,nonprobpriority,priority
usual,proper,complete,more,critical,convenient,nonprob,not_recom,usualproper,completemorecriticalconvenient,nonprobnot_recom,not_recom
usual,proper,complete,more,critical,convenient,slightly_prob,recommended,usualproper,completemorecriticalconvenient,slightly_probrecommended,priority
usual,proper,complete,more,critical,convenient,slightly_prob,priority,usualproper,completemorecriticalconvenient,slightly_probpriority,priority
usual,proper,complete,more,critical,convenient,slightly_prob,not_recom,usualproper,completemorecriticalconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,more,critical,convenient,problematic,recommended,usualproper,completemorecriticalconvenient,problematicrecommended,priority
usual,proper,complete,more,critical,convenient,problematic,priority,usualproper,completemorecriticalconvenient,problematicpriority,priority
usual,proper,complete,more,critical,convenient,problematic,not_recom,usualproper,completemorecriticalconvenient,problematicnot_recom,not_recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,usualproper,completemorecriticalinconv,nonprobrecommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,usualproper,completemorecriticalinconv,nonprobpriority,priority
usual,proper,complete,more,critical,inconv,nonprob,not_recom,usualproper,completemorecriticalinconv,nonprobnot_recom,not_recom
usual,proper,complete,more,critical,inconv,slightly_prob,recommended,usualproper,completemorecriticalinconv,slightly_probrecommended,priority
usual,proper,complete,more,critical,inconv,slightly_prob,priority,usualproper,completemorecriticalinconv,slightly_probpriority,priority
usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,usualproper,completemorecriticalinconv,slightly_probnot_recom,not_recom
usual,proper,complete,more,critical,inconv,problematic,recommended,usualproper,completemorecriticalinconv,problematicrecommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,usualproper,completemorecriticalinconv,problematicpriority,priority
usual,proper,complete,more,critical,inconv,problematic,not_recom,usualproper,completemorecriticalinconv,problematicnot_recom,not_recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,usualproper,completed1convenientconvenient,nonprobrecommended,very_recom
usual,proper,complete,more,critical,inconv,nonprob,priority,usualproper,completed1convenientconvenient,nonprobpriority,priority
usual,proper,complete,more,critical,inconv,nonprob,not_recom,usualproper,completed1convenientconvenient,nonprobnot_recom,not_recom
usual,proper,complete,more,critical,inconv,slightly_prob,recommended,usualproper,completed1convenientconvenient,slightly_probrecommended,very_recom
usual,proper,complete,more,critical,inconv,slightly_prob,priority,usualproper,completed1convenientconvenient,slightly_probpriority,priority
usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,usualproper,completed1convenientconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,more,critical,inconv,problematic,recommended,usualproper,completed1convenientconvenient,problematicrecommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,usualproper,completed1convenientconvenient,problematicpriority,priority
usual,proper,complete,more,critical,inconv,problematic,not_recom,usualproper,completed1convenientconvenient,problematicnot_recom,not_recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,usualproper,completed1convenientinconv,nonprobrecommended,very_recom
usual,proper,complete,more,critical,inconv,nonprob,priority,usualproper,completed1convenientinconv,nonprobpriority,priority
usual,proper,complete,more,critical,inconv,nonprob,not_recom,usualproper,completed1convenientinconv,nonprobnot_recom,not_recom
usual,proper,complete,more,critical,inconv,slightly_prob,recommended,usualproper,completed1convenientinconv,slightly_probrecommended,very_recom
usual,proper,complete,more,critical,inconv,slightly_prob,priority,usualproper,completed1convenientinconv,slightly_probpriority,priority
usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,usualproper,completed1convenientinconv,slightly_probnot_recom,not_recom
usual,proper,complete,more,critical,inconv,problematic,recommended,usualproper,completed1convenientinconv,problematicrecommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,usualproper,completed1convenientinconv,problematicpriority,priority
usual,proper,complete,more,critical,inconv,problematic,not_recom,usualproper,completed1convenientinconv,problematicnot_recom,not_recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,usualproper,completed1less_convconvenient,nonprobrecommended,very_recom
usual,proper,complete,more,critical,inconv,nonprob,priority,usualproper,completed1less_convconvenient,nonprobpriority,priority
usual,proper,complete,more,critical,inconv,nonprob,not_recom,usualproper,completed1less_convconvenient,nonprobnot_recom,not_recom
usual,proper,complete,more,critical,inconv,slightly_prob,recommended,usualproper,completed1less_convconvenient,slightly_probrecommended,very_recom
usual,proper,complete,more,critical,inconv,slightly_prob,priority,usualproper,completed1less_convconvenient,slightly_probpriority,priority
usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,usualproper,completed1less_convconvenient,slightly_probnot_recom,not_recom
usual,proper,complete,more,critical,inconv,problematic,recommended,usualproper,completed1less_convconvenient,problematicrecommended,priority
usual,proper,complete,more,critical,inconv,problematic,priority,usualproper,completed1less_convconvenient,problematicpriority,priority
usual,proper,complete,more,critical,inconv,problematic,not_recom,usualproper,completed1less_convconvenient,problematicnot_recom,not_recom
usual,proper,complete,more,critical,inconv,nonprob,recommended,usualproper,completed1less_convinconv,nonprobrecommended,very_recom
