Wife_age,wife_educ,husband_educ,num_of_child,wife_relig,wife_works,husband-occup,std_of_living,media_exposure,contraceptive_method_used
22,avg-low,avg-high,one,Islam,No,two,low,Good,Long-term
27,avg-low,high,one,Islam,Yes,one,avg-high,Good,Long-term
24,avg-low,high,one,Islam,No,three,low,Good,Long-term
44,high,avg-low,eight,Islam,No,three,avg-high,Good,Long-term
30,avg-low,avg-high,three,Islam,No,three,low,Good,Long-term
23,avg-high,high,two,Islam,No,three,high,Good,Long-term
25,high,high,one,Islam,Yes,three,avg-high,Good,Long-term
47,avg-low,avg-high,four,Islam,No,two,avg-high,Good,Long-term
48,avg-low,avg-high,eight,Islam,No,one,high,Good,Long-term
29,avg-low,avg-high,one,Islam,No,one,low,Good,Long-term
29,avg-low,avg-high,one,Islam,No,one,avg-low,Good,Long-term
21,avg-high,high,zero,Islam,No,two,avg-high,Good,Long-term
21,avg-high,high,one,Islam,No,two,avg-high,Good,Long-term
29,high,high,zero,Islam,Yes,two,high,Good,Long-term
45,avg-high,high,three,Islam,No,one,high,Good,Long-term
33,avg-low,avg-high,two,Islam,No,three,avg-low,Good,Long-term
38,high,high,one,Islam,Yes,one,high,Good,Long-term
24,high,high,zero,Non-Islam,No,one,high,Good,Long-term
49,high,high,six,Non-Islam,Yes,one,high,Good,Long-term
24,avg-low,high,one,Islam,Yes,four,high,Good,Long-term
28,high,high,zero,Non-Islam,Yes,one,high,Good,Long-term
30,high,high,two,Islam,No,one,high,Good,Long-term
33,high,high,two,Islam,No,one,high,Good,Long-term
25,high,high,one,Islam,No,one,avg-high,Good,Long-term
35,high,high,three,Non-Islam,No,one,high,Good,Long-term
27,avg-low,high,four,Islam,No,one,high,Good,Long-term
24,avg-low,avg-low,three,Islam,Yes,two,low,Good,Long-term
25,avg-low,avg-high,zero,Islam,No,two,low,Good,Long-term
46,avg-low,high,six,Islam,No,one,high,Good,Long-term
26,avg-low,avg-low,three,Islam,No,two,low,Good,Long-term
38,avg-low,avg-low,one,Islam,Yes,three,avg-low,Good,Long-term
47,low,avg-low,three,Islam,No,one,avg-high,Good,Long-term
41,low,avg-high,ten,Islam,No,two,avg-high,Not Good,Long-term
41,avg-low,avg-high,one,Islam,Yes,two,avg-high,Good,Long-term
28,high,high,five,Islam,No,two,low,Good,Long-term
17,avg-low,avg-low,three,Islam,No,three,low,Good,Long-term
27,avg-low,avg-high,five,Islam,No,two,low,Good,Long-term
27,low,avg-low,four,Islam,No,three,low,Not Good,Long-term
19,avg-low,avg-high,zero,Islam,Yes,two,avg-low,Good,Long-term
27,avg-low,high,three,Islam,Yes,three,avg-low,Good,Long-term
26,high,avg-high,four,Islam,No,two,avg-high,Good,Long-term
23,avg-low,high,two,Islam,No,three,avg-high,Good,Long-term
40,avg-high,avg-high,three,Islam,No,three,avg-low,Good,Long-term
22,high,high,zero,Islam,No,one,low,Good,Long-term
44,avg-high,high,four,Islam,Yes,one,avg-high,Good,Long-term
29,avg-low,avg-high,two,Islam,No,three,low,Good,Long-term
26,avg-low,avg-high,three,Islam,No,three,low,Good,Long-term
45,high,high,one,Islam,Yes,three,avg-high,Good,Long-term
32,avg-high,avg-high,seven,Islam,Yes,two,avg-high,Good,Long-term
21,high,high,one,Islam,No,one,high,Good,Long-term
31,avg-low,avg-low,four,Islam,No,three,avg-high,Good,Long-term
21,avg-high,high,zero,Islam,No,one,avg-high,Good,Long-term
37,high,high,one,Islam,No,one,high,Good,Long-term
34,high,high,three,Non-Islam,Yes,three,avg-high,Good,Long-term
44,avg-high,high,one,Islam,No,one,avg-high,Good,Long-term
49,high,avg-high,five,Islam,No,two,avg-high,Good,Long-term
26,avg-low,avg-high,two,Islam,No,three,avg-high,Good,Long-term
38,low,avg-low,one,Islam,No,two,high,Not Good,Long-term
36,avg-low,avg-high,five,Islam,No,two,avg-high,Good,Long-term
26,avg-high,high,two,Islam,No,three,avg-high,Good,Long-term
20,avg-low,avg-high,one,Non-Islam,No,three,avg-low,Good,Long-term
44,avg-low,low,three,Islam,Yes,three,avg-low,Good,Long-term
31,avg-high,high,two,Islam,No,one,avg-low,Not Good,Long-term
45,high,high,one,Islam,No,one,avg-high,Good,Long-term
36,avg-low,avg-high,two,Islam,No,three,avg-low,Not Good,Long-term
43,low,avg-high,two,Islam,Yes,two,avg-low,Not Good,Long-term
25,avg-high,high,zero,Islam,No,one,avg-high,Good,Long-term
48,avg-high,high,three,Islam,No,three,low,Good,Long-term
30,high,high,zero,Non-Islam,Yes,one,avg-high,Good,Long-term
48,low,avg-low,eight,Islam,No,three,low,Good,Long-term
28,avg-high,high,one,Islam,No,three,low,Not Good,Long-term
26,high,high,one,Islam,No,one,avg-high,Good,Long-term
26,avg-high,avg-high,three,Islam,Yes,two,high,Good,Long-term
24,high,high,two,Islam,No,three,avg-high,Good,Long-term
21,avg-high,avg-high,two,Islam,No,two,avg-low,Good,Long-term
30,high,high,two,Non-Islam,No,three,low,Good,Long-term
20,high,high,one,Islam,No,one,high,Good,Long-term
33,high,high,two,Islam,No,one,avg-high,Good,Long-term
30,high,high,zero,Non-Islam,Yes,three,avg-high,Good,Long-term
47,high,high,one,Islam,Yes,one,avg-high,Good,Long-term
35,high,high,two,Non-Islam,No,three,avg-high,Good,Long-term
30,avg-low,high,two,Islam,No,three,high,Good,Long-term
33,high,high,three,Islam,No,one,high,Good,Long-term
45,high,high,four,Islam,No,two,avg-high,Good,Long-term
41,high,high,two,Islam,No,one,high,Good,Long-term
32,high,high,one,Islam,Yes,one,avg-high,Good,Long-term
43,high,high,five,Islam,No,one,high,Good,Long-term
44,high,high,three,Islam,No,two,high,Good,Long-term
21,low,avg-high,four,Islam,No,three,avg-low,Good,Long-term
44,avg-high,high,two,Islam,No,one,high,Not Good,Long-term
23,high,high,two,Islam,No,two,high,Good,Long-term
47,low,avg-low,four,Islam,No,two,avg-low,Good,Long-term
47,low,low,seven,Islam,No,two,avg-high,Not Good,Long-term
35,high,high,two,Islam,Yes,two,high,Good,Long-term
32,avg-low,high,four,Islam,No,three,avg-low,Good,Long-term
45,low,high,five,Islam,No,one,avg-low,Not Good,Long-term
22,avg-low,avg-low,two,Islam,No,three,low,Good,Long-term
23,low,low,three,Islam,No,two,low,Not Good,Long-term
30,high,high,zero,Islam,Yes,one,high,Good,Long-term
44,low,avg-high,zero,Islam,No,two,avg-high,Good,Long-term
40,avg-high,avg-high,one,Islam,Yes,three,avg-high,Good,Long-term
34,high,high,four,Islam,No,two,avg-high,Good,Long-term
37,avg-high,high,one,Islam,No,two,high,Good,Long-term
49,avg-high,high,five,Islam,No,one,high,Good,Long-term
26,high,high,one,Islam,No,one,high,Good,Long-term
22,high,high,zero,Islam,No,two,high,Good,Long-term
20,avg-high,high,zero,Islam,Yes,two,high,Good,Long-term
47,high,high,four,Islam,No,one,high,Good,Long-term
49,avg-low,avg-low,eight,Islam,Yes,three,low,Good,Long-term
22,avg-low,high,one,Islam,No,two,high,Good,Long-term
22,avg-high,avg-high,two,Islam,No,three,high,Good,Long-term
25,avg-high,avg-low,two,Islam,No,three,avg-low,Good,Long-term
32,avg-low,high,zero,Islam,Yes,three,high,Good,Long-term
28,high,high,zero,Non-Islam,No,one,avg-high,Good,Long-term
30,avg-low,high,four,Islam,Yes,one,high,Good,Long-term
45,avg-low,high,two,Islam,Yes,two,high,Good,Long-term
49,avg-low,low,ten,Islam,Yes,two,high,Good,Long-term
34,high,high,two,Islam,Yes,one,high,Good,Long-term
25,avg-low,high,one,Islam,No,two,avg-low,Good,Long-term
42,low,avg-high,twelve,Islam,No,three,avg-high,Good,Long-term
48,avg-low,low,three,Islam,Yes,four,avg-high,Good,Long-term
35,avg-high,high,five,Islam,Yes,two,avg-low,Good,Long-term
33,avg-low,avg-high,one,Islam,No,three,high,Good,Long-term
20,avg-low,high,zero,Islam,No,three,avg-low,Good,Long-term
36,avg-low,avg-high,four,Islam,No,three,low,Not Good,Long-term
19,avg-high,avg-high,two,Islam,No,three,avg-low,Good,Long-term
27,avg-high,avg-low,three,Islam,No,three,avg-low,Good,Long-term
30,low,avg-low,four,Islam,No,four,low,Good,Long-term
31,avg-high,high,three,Islam,Yes,three,avg-low,Good,Long-term
44,low,low,eleven,Islam,No,four,low,Not Good,Long-term
24,avg-high,avg-high,two,Islam,No,three,avg-high,Good,Long-term
18,avg-high,high,zero,Islam,Yes,three,low,Good,Long-term
45,low,avg-low,six,Islam,No,three,avg-high,Not Good,Long-term
25,avg-low,avg-low,three,Islam,Yes,three,low,Good,Long-term
36,avg-high,high,six,Islam,No,two,high,Good,Long-term
30,low,low,five,Islam,No,two,avg-low,Good,Long-term
32,avg-low,high,two,Islam,No,three,avg-high,Good,Long-term
42,low,high,eleven,Non-Islam,No,two,avg-low,Not Good,Long-term
22,avg-low,high,zero,Islam,No,three,avg-high,Good,Long-term
36,avg-low,high,two,Islam,Yes,two,high,Good,Long-term
27,avg-low,avg-high,two,Islam,No,three,avg-high,Good,Long-term
40,avg-high,high,one,Islam,No,one,avg-low,Good,Long-term
22,avg-low,avg-high,two,Islam,No,three,low,Good,Long-term
26,avg-low,high,zero,Islam,No,three,low,Good,Long-term
31,avg-high,high,zero,Islam,Yes,two,avg-high,Good,Long-term
32,high,high,one,Islam,No,one,high,Good,Long-term
34,avg-low,avg-high,three,Islam,Yes,three,avg-low,Good,Long-term
40,avg-high,avg-high,one,Non-Islam,No,three,high,Good,Long-term
45,low,avg-low,one,Islam,Yes,three,avg-high,Good,Long-term
26,avg-high,high,three,Islam,No,three,avg-low,Good,Long-term
48,low,avg-high,five,Islam,No,three,avg-low,Good,Long-term
43,low,avg-high,eight,Islam,No,three,low,Good,Long-term
27,avg-high,high,two,Islam,Yes,two,avg-low,Good,Long-term
42,avg-high,avg-low,one,Islam,No,three,avg-high,Good,Long-term
34,avg-high,avg-low,eight,Islam,Yes,two,avg-high,Not Good,Long-term
32,avg-high,avg-low,four,Islam,No,two,avg-low,Not Good,Long-term
31,avg-high,avg-high,two,Islam,Yes,two,avg-high,Good,Long-term
22,avg-low,avg-high,one,Islam,No,three,avg-high,Good,Long-term
27,avg-high,high,zero,Islam,No,three,avg-high,Good,Long-term
37,low,avg-low,two,Islam,No,two,avg-low,Not Good,Long-term
22,low,avg-low,zero,Islam,No,two,high,Good,Long-term
47,high,high,four,Islam,No,one,high,Good,Long-term
32,high,high,four,Islam,Yes,one,avg-high,Good,Long-term
37,avg-high,avg-high,two,Islam,No,one,high,Good,Long-term
45,low,avg-high,one,Islam,No,two,avg-high,Not Good,Long-term
47,low,high,eight,Islam,No,three,avg-high,Good,Long-term
28,avg-high,high,zero,Islam,No,three,avg-low,Good,Long-term
48,low,avg-high,four,Islam,No,three,high,Not Good,Long-term
26,avg-low,high,one,Islam,No,one,avg-high,Good,Long-term
21,avg-high,high,zero,Islam,Yes,three,low,Good,Long-term
20,avg-low,avg-high,one,Islam,No,two,high,Good,Long-term
39,low,low,five,Islam,Yes,three,low,Not Good,Long-term
27,avg-low,avg-high,one,Islam,Yes,three,high,Good,Long-term
37,avg-low,avg-high,five,Islam,Yes,three,avg-low,Good,Long-term
24,high,high,one,Islam,No,three,avg-high,Good,Long-term
39,avg-high,avg-high,six,Islam,No,three,avg-high,Good,Long-term
20,avg-high,avg-high,one,Islam,No,two,avg-high,Good,Long-term
19,avg-high,high,one,Islam,No,two,avg-high,Good,Long-term
40,avg-high,avg-high,four,Islam,No,two,avg-low,Good,Long-term
41,low,high,four,Islam,No,three,avg-high,Good,Long-term
22,high,high,two,Islam,No,one,avg-high,Good,Long-term
32,avg-high,high,four,Islam,No,one,high,Good,Long-term
34,high,high,two,Non-Islam,No,one,high,Good,Long-term
34,high,high,two,Islam,Yes,one,avg-high,Good,Long-term
23,high,high,two,Islam,No,one,high,Good,Long-term
27,high,high,one,Islam,No,one,avg-low,Good,Long-term
46,avg-high,avg-low,eleven,Islam,Yes,two,avg-low,Not Good,Long-term
34,high,high,three,Non-Islam,No,one,avg-low,Good,Long-term
33,high,high,five,Islam,No,three,avg-high,Good,Long-term
25,avg-high,avg-high,one,Islam,No,three,avg-low,Good,Long-term
26,high,high,one,Islam,Yes,one,high,Good,Long-term
48,low,avg-high,four,Islam,No,three,avg-high,Not Good,Long-term
36,high,high,two,Islam,No,three,avg-high,Good,Long-term
38,avg-high,high,two,Non-Islam,No,two,high,Good,Long-term
44,low,avg-low,seven,Islam,No,three,high,Good,Long-term
44,avg-low,avg-low,one,Islam,Yes,three,avg-low,Good,Long-term
39,avg-high,avg-high,one,Non-Islam,No,three,high,Good,Long-term
47,low,avg-low,seven,Islam,Yes,three,avg-low,Good,Long-term
43,low,avg-high,five,Islam,Yes,three,avg-low,Good,Long-term
29,avg-high,avg-high,three,Islam,Yes,two,high,Good,Long-term
22,avg-high,avg-high,zero,Islam,No,two,avg-low,Good,Long-term
31,avg-low,high,five,Islam,No,three,avg-low,Good,Long-term
22,high,high,zero,Islam,No,one,avg-high,Good,Long-term
45,avg-high,high,six,Islam,No,two,high,Good,Long-term
42,avg-high,high,ten,Islam,Yes,three,avg-low,Good,Long-term
38,avg-high,avg-high,seven,Islam,No,three,low,Good,Long-term
47,low,low,six,Islam,Yes,three,low,Good,Long-term
30,high,high,two,Islam,No,one,high,Good,Long-term
28,avg-high,high,one,Islam,No,three,high,Good,Long-term
25,avg-high,high,one,Islam,No,two,low,Good,Long-term
49,avg-low,high,six,Non-Islam,No,two,avg-high,Good,Long-term
23,avg-high,high,two,Islam,Yes,two,avg-high,Good,Long-term
35,avg-high,high,one,Non-Islam,No,two,avg-high,Good,Long-term
47,avg-low,low,five,Non-Islam,No,two,high,Good,Long-term
35,avg-low,avg-high,zero,Islam,No,two,high,Good,Long-term
44,avg-high,high,six,Islam,No,three,high,Good,Long-term
48,high,high,three,Islam,No,two,high,Good,Long-term
43,avg-low,avg-high,six,Islam,Yes,three,avg-high,Good,Long-term
21,avg-low,high,two,Islam,No,three,low,Good,Long-term
22,high,high,zero,Islam,No,one,high,Good,Long-term
41,avg-high,avg-high,five,Islam,No,three,high,Good,Long-term
29,avg-low,high,two,Islam,Yes,four,high,Not Good,Long-term
44,high,high,five,Non-Islam,No,two,high,Good,Long-term
22,high,high,zero,Islam,Yes,one,high,Good,Long-term
23,avg-low,high,four,Islam,No,three,avg-high,Good,Long-term
22,avg-low,low,zero,Islam,No,three,avg-low,Good,Long-term
35,low,avg-high,zero,Islam,No,two,avg-low,Not Good,Long-term
24,high,high,one,Islam,No,two,avg-low,Good,Long-term
36,high,high,four,Islam,No,one,high,Good,Long-term
47,low,avg-low,two,Islam,No,two,high,Good,Long-term
40,high,high,three,Islam,No,three,high,Good,Long-term
29,high,high,one,Islam,No,one,avg-high,Good,Long-term
49,avg-high,high,six,Islam,No,one,high,Good,Long-term
49,avg-high,high,nine,Islam,No,one,high,Good,Long-term
47,high,high,two,Islam,No,one,high,Good,Long-term
28,high,high,three,Non-Islam,No,one,high,Good,Long-term
26,high,high,one,Islam,No,one,high,Good,Long-term
29,low,avg-low,seven,Islam,No,two,high,Good,Long-term
29,high,avg-low,zero,Islam,Yes,two,avg-low,Good,Long-term
25,avg-high,avg-high,one,Islam,No,three,high,Good,Long-term
24,avg-low,high,two,Islam,No,three,high,Good,Long-term
23,high,high,one,Islam,Yes,two,high,Good,Long-term
23,high,high,two,Islam,Yes,three,avg-high,Good,Long-term
44,low,avg-low,two,Islam,No,two,high,Good,Long-term
39,avg-high,high,six,Islam,No,one,high,Good,Long-term
21,avg-high,avg-high,zero,Islam,No,two,avg-low,Good,Long-term
22,avg-high,high,two,Islam,No,two,avg-high,Good,Long-term
47,avg-high,high,three,Islam,No,two,avg-high,Good,Long-term
36,avg-high,avg-high,two,Islam,Yes,two,high,Good,Long-term
25,low,high,two,Islam,Yes,three,avg-high,Not Good,Long-term
40,high,high,two,Islam,No,three,high,Good,Long-term
36,avg-low,avg-low,zero,Non-Islam,Yes,three,avg-high,Good,Long-term
37,avg-low,avg-high,five,Non-Islam,Yes,two,high,Good,Long-term
28,low,high,two,Islam,Yes,two,avg-high,Good,Long-term
30,avg-high,avg-high,five,Islam,Yes,three,high,Good,Long-term
16,avg-high,high,one,Islam,No,three,avg-high,Good,Long-term
32,avg-low,avg-high,four,Non-Islam,No,two,high,Good,Long-term
40,high,high,three,Non-Islam,No,three,high,Good,Long-term
40,low,low,two,Islam,Yes,three,high,Good,Long-term
45,avg-high,high,two,Non-Islam,No,one,high,Good,Long-term
21,low,avg-high,zero,Islam,Yes,three,high,Not Good,Long-term
28,high,high,one,Non-Islam,No,one,avg-high,Good,Long-term
25,high,high,one,Non-Islam,No,two,avg-high,Good,Long-term
44,low,avg-high,four,Islam,No,three,avg-high,Not Good,Long-term
35,high,high,two,Non-Islam,No,three,high,Good,Long-term
49,high,high,four,Islam,No,three,high,Good,Long-term
39,avg-high,high,one,Non-Islam,No,three,high,Good,Long-term
32,avg-high,high,one,Non-Islam,No,two,high,Good,Long-term
35,low,avg-low,zero,Islam,Yes,four,high,Good,Long-term
21,low,avg-low,one,Islam,Yes,three,high,Good,Long-term
47,high,high,one,Non-Islam,No,one,high,Good,Long-term
27,high,high,one,Non-Islam,No,three,high,Good,Long-term
31,avg-low,avg-low,eight,Islam,No,two,avg-low,Not Good,Long-term
34,high,avg-high,zero,Non-Islam,Yes,three,avg-high,Good,Long-term
30,high,high,three,Islam,Yes,two,high,Good,Long-term
25,high,high,zero,Islam,Yes,two,high,Good,Long-term
28,avg-high,high,three,Islam,No,two,low,Good,Long-term
30,avg-low,avg-high,four,Islam,Yes,three,avg-low,Good,Long-term
42,avg-high,avg-high,eight,Islam,No,four,avg-high,Good,Long-term
23,high,high,zero,Non-Islam,No,two,high,Good,Long-term
45,avg-high,high,three,Non-Islam,No,three,high,Good,Long-term
21,high,high,one,Islam,No,three,avg-high,Good,Long-term
28,high,high,one,Non-Islam,No,two,high,Good,Long-term
33,high,high,one,Non-Islam,Yes,three,high,Good,Long-term
32,low,avg-low,four,Islam,No,three,avg-low,Not Good,Long-term
25,avg-low,avg-low,three,Islam,No,three,avg-high,Good,Long-term
25,avg-high,avg-high,one,Islam,No,three,low,Good,Long-term
19,avg-low,avg-low,two,Islam,No,three,low,Good,Long-term
40,low,avg-low,six,Islam,No,three,low,Not Good,Long-term
24,avg-low,avg-low,two,Islam,No,three,low,Not Good,Long-term
32,avg-low,avg-low,one,Islam,No,two,low,Good,Long-term
35,avg-low,avg-high,eight,Islam,No,three,avg-low,Good,Long-term
27,avg-low,avg-low,one,Islam,Yes,three,avg-low,Not Good,Long-term
23,avg-low,high,two,Islam,No,one,high,Good,Long-term
22,avg-low,high,four,Islam,No,three,high,Good,Long-term
49,avg-low,avg-high,zero,Islam,No,one,avg-low,Good,Long-term
25,avg-low,avg-high,zero,Islam,No,two,high,Good,Long-term
18,avg-high,high,one,Islam,No,three,low,Good,Long-term
43,avg-high,avg-high,four,Islam,No,two,high,Good,Long-term
37,low,avg-high,zero,Islam,No,three,high,Good,Long-term
30,avg-low,avg-high,two,Islam,Yes,two,high,Good,Long-term
29,avg-high,avg-low,zero,Islam,No,two,avg-low,Good,Long-term
20,avg-low,avg-high,three,Islam,No,three,high,Good,Long-term
42,avg-high,avg-high,three,Islam,Yes,two,high,Good,Long-term
23,high,high,one,Islam,No,two,avg-high,Good,Long-term
34,avg-low,avg-high,seven,Islam,Yes,three,avg-high,Good,Long-term
23,avg-high,avg-high,six,Islam,No,three,avg-high,Good,Long-term
38,avg-high,avg-high,five,Islam,No,one,high,Good,Long-term
37,avg-low,avg-high,four,Islam,No,two,avg-high,Good,Long-term
17,avg-low,avg-high,one,Islam,No,three,avg-low,Good,Long-term
39,avg-high,high,three,Islam,No,one,high,Good,Long-term
49,low,avg-high,zero,Islam,No,three,avg-high,Not Good,Long-term
23,avg-high,avg-high,two,Islam,No,two,avg-low,Good,Long-term
40,avg-high,avg-high,three,Islam,No,two,avg-low,Not Good,Long-term
32,avg-low,high,five,Islam,No,two,avg-high,Good,Long-term
18,avg-low,avg-high,one,Islam,No,two,avg-high,Good,Long-term
46,low,avg-low,eight,Islam,No,three,avg-high,Not Good,Long-term
37,avg-high,avg-high,six,Islam,No,two,avg-low,Good,Long-term
38,avg-low,high,five,Non-Islam,No,two,avg-low,Good,Long-term
37,avg-low,avg-high,two,Non-Islam,Yes,three,avg-high,Good,Long-term
25,avg-low,avg-high,one,Islam,Yes,two,low,Good,Long-term
38,avg-low,high,five,Islam,No,three,avg-high,Good,Long-term
39,high,high,two,Islam,Yes,one,high,Good,Long-term
44,high,high,three,Islam,Yes,one,high,Not Good,Long-term
19,high,high,zero,Non-Islam,No,three,high,Good,Long-term
28,avg-low,high,one,Islam,Yes,three,high,Good,Long-term
20,avg-low,avg-high,one,Islam,No,three,high,Good,Long-term
33,high,high,zero,Islam,Yes,three,avg-high,Good,Long-term
33,high,high,five,Islam,No,three,high,Good,Long-term
47,low,high,six,Islam,No,one,high,Good,Long-term
25,avg-high,avg-high,zero,Islam,No,three,high,Good,Long-term
29,high,high,zero,Islam,Yes,two,high,Good,Long-term
37,high,high,two,Non-Islam,No,one,high,Good,Long-term
49,low,avg-high,six,Islam,No,two,high,Good,Long-term
48,low,low,eight,Islam,Yes,two,avg-low,Not Good,Long-term
19,avg-low,avg-low,zero,Islam,No,two,avg-low,Good,Long-term
46,low,avg-low,three,Islam,No,two,low,Not Good,Long-term
39,low,avg-low,two,Islam,No,three,low,Not Good,Long-term
30,avg-high,high,five,Islam,No,one,high,Good,Long-term
40,avg-low,avg-low,eight,Islam,No,two,avg-low,Good,Long-term
43,low,avg-low,one,Islam,No,three,high,Not Good,Long-term
29,avg-high,high,four,Islam,Yes,one,avg-high,Good,Long-term
23,avg-high,avg-high,two,Islam,No,three,avg-high,Good,Long-term
24,avg-low,avg-low,three,Islam,No,two,high,Good,Long-term
47,avg-high,avg-high,two,Islam,No,two,high,Good,Long-term
35,avg-high,avg-high,two,Islam,Yes,two,avg-low,Good,Long-term
19,avg-high,avg-high,one,Islam,No,two,high,Good,Long-term
45,avg-low,avg-high,four,Islam,Yes,two,high,Good,Long-term
42,avg-low,high,two,Islam,No,three,high,Good,Long-term
47,low,low,one,Islam,No,three,high,Good,Long-term
25,avg-low,avg-low,two,Islam,No,three,low,Good,Long-term
20,avg-low,avg-high,three,Islam,No,three,high,Good,Long-term
33,avg-high,avg-high,six,Islam,No,three,high,Good,Short-term
46,high,avg-high,five,Islam,No,one,high,Good,Short-term
35,high,high,four,Islam,No,one,high,Good,Short-term
26,high,high,two,Islam,Yes,one,high,Good,Short-term
36,avg-high,avg-high,five,Islam,Yes,one,avg-high,Good,Short-term
37,avg-high,high,three,Islam,No,one,avg-high,Good,Short-term
44,avg-low,high,four,Islam,No,three,avg-high,Good,Short-term
32,high,high,two,Islam,No,one,high,Good,Short-term
25,avg-low,high,six,Islam,No,three,high,Good,Short-term
42,avg-low,avg-high,seven,Islam,No,three,high,Good,Short-term
30,high,high,two,Non-Islam,Yes,one,high,Good,Short-term
39,high,high,four,Islam,No,one,high,Good,Short-term
26,low,low,two,Islam,No,three,high,Good,Short-term
30,avg-low,high,three,Islam,No,three,high,Good,Short-term
38,high,high,four,Non-Islam,Yes,one,avg-low,Good,Short-term
23,high,high,one,Islam,No,one,avg-low,Good,Short-term
18,avg-high,high,one,Islam,No,three,high,Good,Short-term
25,avg-high,high,three,Islam,No,two,avg-high,Good,Short-term
37,high,high,two,Islam,Yes,three,avg-high,Good,Short-term
20,avg-high,high,one,Islam,No,three,avg-low,Good,Short-term
45,high,high,seven,Islam,No,one,high,Good,Short-term
28,avg-low,low,two,Islam,Yes,three,avg-high,Good,Short-term
